name,episode,link,pic,season,genre,rank
Fullmetal Alchemist: Brotherhood,64,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,https://cdn.myanimelist.net/images/anime/1223/96541.jpg,Spring 2009,Action Military Adventure Comedy Drama Magic Fantasy Shounen,1
Shingeki no Kyojin Season 3 Part 2,10,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,https://cdn.myanimelist.net/images/anime/1517/100633.jpg,Spring 2019,Action Drama Fantasy Military Mystery Shounen Super Power,2
Steins;Gate,24,https://myanimelist.net/anime/9253/Steins_Gate,https://cdn.myanimelist.net/images/anime/5/73199.jpg,Spring 2011,Sci-Fi Psychological Drama Thriller,3
Gintama°,51,https://myanimelist.net/anime/28977/Gintama°,https://cdn.myanimelist.net/images/anime/3/72078.jpg,Spring 2015,Action Comedy Historical Parody Samurai Sci-Fi Shounen,4
Fruits Basket: The Final,13,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,https://cdn.myanimelist.net/images/anime/1085/114792.jpg,Spring 2021,Slice of Life Comedy Supernatural Drama Romance Shoujo,5
Gintama',51,https://myanimelist.net/anime/9969/Gintama,https://cdn.myanimelist.net/images/anime/4/50361.jpg,Spring 2011,Action Sci-Fi Comedy Historical Parody Samurai Shounen,6
Hunter x Hunter (2011),148,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,https://cdn.myanimelist.net/images/anime/11/33657.jpg,Fall 2011,Action Adventure Fantasy Shounen Super Power,7
Ginga Eiyuu Densetsu,110,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,https://cdn.myanimelist.net/images/anime/13/13225.jpg,OVA ONA SPECIAL,Military Sci-Fi Space Drama,8
Gintama': Enchousen,13,https://myanimelist.net/anime/15417/Gintama__Enchousen,https://cdn.myanimelist.net/images/anime/6/75172.jpg,Fall 2012,Action Comedy Historical Parody Samurai Sci-Fi Shounen,9
3-gatsu no Lion 2nd Season,22,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,https://cdn.myanimelist.net/images/anime/3/88469.jpg,Fall 2017,Drama Game Seinen Slice of Life,10
Gintama.,12,https://myanimelist.net/anime/34096/Gintama,https://cdn.myanimelist.net/images/anime/3/83528.jpg,Winter 2017,Action Comedy Historical Parody Samurai Sci-Fi Shounen,11
Koe no Katachi,1,https://myanimelist.net/anime/28851/Koe_no_Katachi,https://cdn.myanimelist.net/images/anime/1122/96435.jpg,OVA ONA SPECIAL,Drama School Shounen,12
Clannad: After Story,24,https://myanimelist.net/anime/4181/Clannad__After_Story,https://cdn.myanimelist.net/images/anime/1299/110774.jpg,Fall 2008,Slice of Life Comedy Supernatural Drama Romance,13
Gintama,201,https://myanimelist.net/anime/918/Gintama,https://cdn.myanimelist.net/images/anime/10/73274.jpg,Spring 2006,Action Comedy Historical Parody Samurai Sci-Fi Shounen,14
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,1,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,https://cdn.myanimelist.net/images/anime/10/51723.jpg,OVA ONA SPECIAL,Action Sci-Fi Comedy Historical Parody Samurai Shounen,15
Gintama: The Final,1,https://myanimelist.net/anime/39486/Gintama__The_Final,https://cdn.myanimelist.net/images/anime/1027/109706.jpg,OVA ONA SPECIAL,Action Sci-Fi Comedy Historical Parody Drama Samurai Shounen,16
Shingeki no Kyojin: The Final Season,16,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,https://cdn.myanimelist.net/images/anime/1000/110531.jpg,Winter 2021,Action Military Mystery Super Power Drama Fantasy Shounen,17
Owarimonogatari 2nd Season,7,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season,https://cdn.myanimelist.net/images/anime/6/87322.jpg,Summer 2017,Mystery Comedy Supernatural Vampire,18
Code Geass: Hangyaku no Lelouch R2,25,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,https://cdn.myanimelist.net/images/anime/4/9391.jpg,Spring 2008,Action Military Sci-Fi Super Power Drama Mecha,19
Kimi no Na wa.,1,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,https://cdn.myanimelist.net/images/anime/5/87048.jpg,OVA ONA SPECIAL,Romance Supernatural School Drama,20
Shiguang Dailiren,11,https://myanimelist.net/anime/44074/Shiguang_Dailiren,https://cdn.myanimelist.net/images/anime/1135/114867.jpg,OVA ONA SPECIAL,Super Power Drama Fantasy,21
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,14,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen,https://cdn.myanimelist.net/images/anime/1776/96566.jpg,Summer 2018,Action Sci-Fi Comedy Historical Parody Samurai Shounen,22
Violet Evergarden Movie,1,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie,https://cdn.myanimelist.net/images/anime/1825/110716.jpg,OVA ONA SPECIAL,Slice of Life Drama Fantasy,23
Gintama.: Shirogane no Tamashii-hen,12,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen,https://cdn.myanimelist.net/images/anime/12/89603.jpg,Winter 2018,Action Comedy Historical Parody Samurai Sci-Fi Shounen,24
Mob Psycho 100 II,13,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,https://cdn.myanimelist.net/images/anime/1918/96303.jpg,Winter 2019,Action Slice of Life Comedy Supernatural,25
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,10,https://myanimelist.net/anime/32935/Haikyuu__Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,https://cdn.myanimelist.net/images/anime/7/81992.jpg,Fall 2016,Comedy Sports Drama School Shounen,26
