name,episode,link,pic,season,genre,rank
Shingeki no Kyojin,25,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,https://cdn.myanimelist.net/images/anime/10/47347.jpg,Spring 2013,Action Military Mystery SuperPower Drama Fantasy Shounen,107
Fullmetal Alchemist: Brotherhood,64,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,https://cdn.myanimelist.net/images/anime/1223/96541.jpg,Spring 2009,Action Military Adventure Comedy Drama Magic Fantasy Shounen,1
Sword Art Online,25,https://myanimelist.net/anime/11757/Sword_Art_Online,https://cdn.myanimelist.net/images/anime/11/39717.jpg,Summer 2012,Action Game Adventure Romance Fantasy,2805
One Punch Man,12,https://myanimelist.net/anime/30276/One_Punch_Man,https://cdn.myanimelist.net/images/anime/12/76049.jpg,Fall 2015,Action Sci-Fi Comedy Parody SuperPower Supernatural,95
Boku no Hero Academia,13,https://myanimelist.net/anime/31964/Boku_no_Hero_Academia,https://cdn.myanimelist.net/images/anime/10/78745.jpg,Spring 2016,Action Comedy School Shounen SuperPower,548
Tokyo Ghoul,12,https://myanimelist.net/anime/22319/Tokyo_Ghoul,https://cdn.myanimelist.net/images/anime/5/64449.jpg,Summer 2014,Action Mystery Horror Psychological Supernatural Drama Seinen,854
Naruto,220,https://myanimelist.net/anime/20/Naruto,https://cdn.myanimelist.net/images/anime/13/17405.jpg,Fall 2002,Action Adventure Comedy SuperPower MartialArts Shounen,626
Hunter x Hunter (2011),148,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,https://cdn.myanimelist.net/images/anime/11/33657.jpg,Fall 2011,Action Adventure Fantasy Shounen SuperPower,7
Shingeki no Kyojin Season 2,12,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2,https://cdn.myanimelist.net/images/anime/4/84177.jpg,Spring 2017,Action Military Mystery SuperPower Drama Fantasy Shounen,117
Kimetsu no Yaiba,26,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba,https://cdn.myanimelist.net/images/anime/1286/99889.jpg,Spring 2019,Action Demons Historical Shounen Supernatural,78
